phenomenonTime,trackId,estimatedLat,estimatedLon,cep50_m,classification,numContributingLobs,contributingSensors,residual_m
2026-03-04T18:26:06.941Z,1,31.659255,-110.298009,0.0,UAS,2,"AZ-MA-1,AZ-MA-2",0.0
2026-03-04T18:26:12.074Z,1,31.657868,-110.29399,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:26:17.109Z,1,31.660124,-110.29978,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:26:22.178Z,1,31.659276,-110.297908,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:26:27.214Z,1,31.658958,-110.296364,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:26:32.286Z,1,31.659399,-110.298265,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:26:37.322Z,1,31.658795,-110.295939,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:26:42.391Z,1,31.658819,-110.296028,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:26:47.431Z,1,31.658747,-110.295169,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:26:52.500Z,1,31.658518,-110.295118,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:26:57.535Z,1,31.659496,-110.297265,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:02.611Z,1,31.660235,-110.296447,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:07.647Z,1,31.658496,-110.293663,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:12.692Z,1,31.659008,-110.29591,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:17.731Z,1,31.658098,-110.292145,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:22.788Z,1,31.65844,-110.293842,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:27.824Z,1,31.66,-110.296441,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:32.878Z,1,31.659184,-110.294618,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:37.913Z,1,31.659056,-110.295337,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:42.983Z,1,31.658725,-110.29331,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:48.020Z,1,31.660539,-110.296525,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:53.090Z,1,31.659193,-110.293993,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:27:58.137Z,1,31.659052,-110.291637,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:03.217Z,1,31.659297,-110.293303,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:08.258Z,1,31.65867,-110.291718,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:13.360Z,1,31.658985,-110.292661,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:18.397Z,1,31.66045,-110.295146,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:23.527Z,1,31.659959,-110.293718,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:28.561Z,1,31.658789,-110.291461,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:33.628Z,1,31.660359,-110.294042,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:38.663Z,1,31.659592,-110.2919,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:43.729Z,1,31.659602,-110.292149,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:48.763Z,1,31.659854,-110.29258,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:53.834Z,1,31.659715,-110.292288,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:28:58.870Z,1,31.659358,-110.291534,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:03.938Z,1,31.660285,-110.291806,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:08.979Z,1,31.659703,-110.290801,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:14.066Z,1,31.659715,-110.29207,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:19.103Z,1,31.659929,-110.291607,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:24.172Z,1,31.659177,-110.289595,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:29.210Z,1,31.65976,-110.290875,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:34.333Z,1,31.658666,-110.288191,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:39.370Z,1,31.659533,-110.290264,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:44.438Z,1,31.659778,-110.290195,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
2026-03-04T18:29:49.476Z,1,31.66047,-110.290972,0.0,UAS,3,"AZ-MA-1,AZ-MA-2,AZ-MA-3",0.0
