phenomenonTime,title,senderId,seqNo,tgtTyp,subTyp,etaLat,etaLon,etaTimeZ,detectTimeZ,comments
2026-03-04T21:30:54.714Z,C-20260304-SLB-001,SLB,1,UAS,INIT,31.66075,-110.278974,2130Z,2130Z,C-20260304-SLB-001 | INIT | CEP50=35.1m | LOBs=3 | fixId=041vji52pk32m26og0
2026-03-04T22:11:12.362Z,C-20260304-SLB-001,SLB,1,UAS,INIT,31.661042,-110.278561,2211Z,2211Z,C-20260304-SLB-001 | INIT | CEP50=18.8m | LOBs=3 | fixId=041uvmt2pk331cje80
